COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736,41324100,242.617,91.434,37840119,83.725,,2020-12-29,7,30810184,68.17
Australia,AUS,WPRO,REPORTING,2023-09-07,68653247,22201481,269.23,87.065,21610412,84.747,,2021-02-21,5,14405773,56.493
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633,1241174,204.319,72.943,1226796,72.098,,2020-11-04,11,1008663,59.278
British Virgin Islands,VGB,AMRO,REPORTING,2023-06-02,41453,19466,137.094,64.378,18261,60.393,,2021-02-11,3,3726,12.323
Egypt,EGY,EMRO,REPORTING,2023-05-21,112673535,56907319,110.103,55.609,42337175,41.371,,2021-01-24,10,15217352,14.87
El Salvador,SLV,AMRO,REPORTING,2023-06-02,11426688,4656627,176.169,71.793,4393762,67.74,,2021-02-17,6,1898202,29.265
Eswatini,SWZ,AFRO,REPORTING,2023-06-04,870205,526050,75.007,45.343,427335,36.834,,2021-03-19,3,179450,15.468
Greece,GRC,EURO,REPORTING,2023-09-03,21985377,7917117,205.1,75.691,7745426,74.05,,2020-12-23,7,5902329,56.429
Guam,GUM,WPRO,REPORTING,2023-01-31,352698,135612,208.975,80.351,128788,76.308,,2021-01-04,3,83603,49.535
India,IND,SEARO,REPORTING,2023-06-27,2206737729,1025823823,159.908,74.335,952120865,68.994,,2021-01-16,8,228793041,16.579
Latvia,LVA,EURO,REPORTING,2023-08-13,2979624,1344386,156.2,71.672,1304787,69.561,,2020-12-30,9,550901,29.37
Lesotho,LSO,AFRO,REPORTING,2023-03-19,1339097,1014073,62.509,47.337,938088,43.79,,2021-03-10,3,177816,8.3
Luxembourg,LUX,EURO,REPORTING,2023-08-06,1337890,469283,213.7,72.712,462711,71.694,,2020-12-30,8,368510,57.098
Montserrat,MSR,AMRO,REPORTING,2023-06-02,4619,2104,92.398,42.088,1952,39.048,,2021-02-08,2,563,11.262
Namibia,NAM,AFRO,REPORTING,2023-09-10,1005582,629473,39.576,24.774,550656,21.672,,2021-03-19,4,298560,11.75
Papua New Guinea,PNG,WPRO,REPORTING,2023-09-03,537372,393802,6.006,4.401,332608,3.718,,2021-03-30,4,36623,0.409
Portugal,PRT,EURO,OWID,2023-09-01,28196689,9791341,273.9,94.584,8906354,86.035,,2020-12-23,12,,
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178,2852178,264.111,98.998,2852178,98.998,,,10,1904822,66.115
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,68534631,27041364,196.86,77.674,25433941,73.057,,2021-01-06,10,16059326,46.129
Senegal,SEN,AFRO,REPORTING,2023-09-10,3152562,2684696,18.828,16.034,1503332,8.978,,2021-02-23,3,815965,4.873
Sint Maarten,SXM,AMRO,REPORTING,2023-06-02,66829,29788,155.844,69.465,26773,62.434,,2021-02-22,3,9146,21.328
South Africa,ZAF,AFRO,REPORTING,2023-06-04,38882146,24210953,65.559,40.822,21038797,35.473,,2021-02-17,2,4410601,7.437
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590,17143761,187.345,80.061,14752827,68.896,,2021-01-29,6,8220002,38.387
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054,9991089,251.982,101.018,9792266,99.008,,,11,5138699,51.956
United States of America,USA,AMRO,REPORTING,2023-06-02,668882018,267321711,202.078,80.761,227948938,68.866,,2020-12-14,4,116629517,35.235
Uzbekistan,UZB,EURO,REPORTING,2023-08-13,80700978,22087418,241.1,64.808,18438157,54.1,,2021-04-28,9,16118818,47.295
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303,7150,153.859,63.578,6803,60.493,,2021-03-19,1,3350,29.788
Albania,ALB,EURO,REPORTING,2023-07-16,3087677,1349150,107.3,47.26,1279231,44.811,,2021-01-13,6,401767,14.074
Chile,CHL,AMRO,REPORTING,2023-06-02,66273384,18106832,346.687,94.72,17716364,92.677,,2020-12-21,5,15766986,82.48
Congo,COG,AFRO,REPORTING,2022-07-31,833210,695760,15.1,12.609,654119,11.854,,2021-03-23,4,,
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-02-19,25263932,13568372,95.776,51.438,12164304,46.115,,2021-03-01,5,3138712,11.899
Denmark,DNK,EURO,REPORTING,2023-08-20,14943741,4754913,256.6,80.956,4719688,80.357,,2020-12-16,5,3624228,61.706
Greenland,GRL,EURO,OWID,2022-03-14,79738,41227,140.453,72.619,38511,67.834,,,1,,
Guernsey,GGY,EURO,OWID,2022-12-19,178525,54223,276.92,84.108,52710,81.761,,,3,69339,107.556
Guinea,GIN,AFRO,REPORTING,2023-04-02,10645240,7679918,81.058,58.479,4725982,35.986,,2021-03-05,6,302545,2.304
Guinea-Bissau,GNB,AFRO,REPORTING,2023-06-04,825234,733271,41.933,37.26,533741,27.121,,2021-04-02,2,48801,2.48
Guyana,GUY,AMRO,REPORTING,2023-06-02,960133,495285,122.069,62.969,381984,48.564,,2021-02-11,7,77874,9.901
Hungary,HUN,EURO,REPORTING,2023-08-06,16570437,6358635,169.6,65.627,6152003,63.495,,2020-12-23,8,3868653,39.928
Japan,JPN,WPRO,REPORTING,2023-09-05,407284261,104737006,322.024,82.811,103417721,81.768,,2021-02-17,4,86588627,68.462
Kyrgyzstan,KGZ,EURO,REPORTING,2023-06-18,3167393,1528725,48.5,23.419,1337850,20.495,,2021-03-31,6,300818,4.608
Mauritius,MUS,AFRO,REPORTING,2023-07-30,2616012,1123773,205.699,88.363,1088142,85.561,,2021-01-26,3,654507,51.464
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144,2284018,172.899,69.671,2185282,66.659,,2021-02-23,6,1058839,32.299
North Macedonia,MKD,EURO,REPORTING,2023-05-07,1862987,854570,89.4,40.629,838181,39.85,,2021-02-17,7,161633,7.685
Seychelles,SYC,AFRO,REPORTING,2023-04-09,224558,88520,228.332,90.008,83565,84.97,,2021-01-10,4,44936,45.691
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-06-02,1589640,754399,113.587,53.905,718969,51.374,,2021-02-17,5,174836,12.493
Turkmenistan,TKM,EURO,REPORTING,2023-08-06,16775970,4614869,278.2,72.768,4568901,72.044,,2021-02-24,7,3816400,60.178
Uganda,UGA,AFRO,REPORTING,2023-05-28,26406936,20033189,57.731,43.797,13061126,28.555,,2021-03-10,5,764664,1.672
Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577,15774300,72.4,36.237,15153577,34.811,,2021-02-24,6,741197,1.703
Yemen,YEM,EMRO,REPORTING,2023-09-17,1287688,1041596,4.317,3.492,798451,2.677,,2021-04-20,11,66565,0.223
American Samoa,ASM,WPRO,REPORTING,2023-03-29,114706,46206,207.812,83.711,42479,76.959,,2020-12-21,3,24160,43.77
Austria,AUT,EURO,REPORTING,2023-07-02,20403676,6899873,229.2,76.953,6682372,74.423,,2020-12-30,10,5405966,60.207
Bangladesh,BGD,SEARO,REPORTING,2023-06-25,360177584,151379833,218.701,91.918,141208849,85.743,,2021-01-27,8,67588902,41.04
Brunei Darussalam,BRN,WPRO,REPORTING,2023-06-30,1293100,451149,295.58,103.125,446714,102.111,,2021-04-03,5,340466,77.825
Bulgaria,BGR,EURO,REPORTING,2023-09-03,4618655,2108529,66.4,30.831,2080302,30.418,,2020-12-30,4,832951,12.18
Central African Republic,CAF,AFRO,REPORTING,2023-09-03,3342248,2600389,69.201,53.841,2484985,51.451,,2021-03-19,2,366221,7.583
Cuba,CUB,AMRO,REPORTING,2023-06-02,38105906,10749013,336.428,94.9,10016328,88.432,,,3,8742146,77.182
Curaçao,CUW,AMRO,REPORTING,2023-06-02,260324,108601,158.644,66.183,100885,61.48,,2021-02-24,3,43138,26.289
Ecuador,ECU,AMRO,REPORTING,2023-02-24,39495110,15329151,223.856,86.885,14233323,80.674,,2021-01-20,4,7708466,43.691
Estonia,EST,EURO,REPORTING,2023-09-03,2204970,845138,165.9,63.459,842167,63.235,,2020-12-23,9,487355,36.594
Ethiopia,ETH,AFRO,REPORTING,2023-05-28,68856793,52489512,59.894,45.658,43653006,37.971,,2021-03-13,4,5978070,5.2
Fiji,FJI,WPRO,REPORTING,2023-06-29,1547226,712025,172.596,79.428,641194,71.526,,2021-03-07,3,172078,19.196
Gambia,GMB,AFRO,REPORTING,2023-03-19,1444492,674314,59.772,27.903,539186,22.311,,2021-03-10,2,53741,2.224
Guadeloupe,GLP,AMRO,REPORTING,2023-06-02,400129,152113,100.001,38.016,146098,36.513,,2021-01-08,7,89009,22.245
Honduras,HND,AMRO,REPORTING,2023-06-02,16901540,6485671,170.643,65.481,5751048,58.064,,2021-02-22,6,4665196,47.101
Ireland,IRL,EURO,REPORTING,2023-06-11,12386942,4108479,249.5,83.893,4062803,80.292,,2021-02-03,5,3057548,60.426
Jordan,JOR,EMRO,REPORTING,2022-08-21,10057975,4821579,98.577,47.256,4558313,44.676,,2021-01-13,10,682211,6.686
Libya,LBY,EMRO,REPORTING,2023-01-16,3739158,2316327,54.417,33.71,1236102,17.989,,2021-04-11,10,186729,2.718
Lithuania,LTU,EURO,REPORTING,2023-09-03,4532545,1956486,162.2,69.878,1907059,67.964,,2020-12-23,5,902087,32.149
Malawi,MWI,AFRO,REPORTING,2023-07-02,8359717,5368688,43.7,28.064,4223762,22.079,,2021-03-11,2,1154619,6.036
Maldives,MDV,SEARO,REPORTING,2023-05-25,951764,399308,176.075,73.872,385167,71.255,,2021-02-01,8,167289,30.948
Malta,MLT,EURO,REPORTING,2023-08-13,1280166,450531,248.8,86.479,444902,85.399,,2020-12-23,4,352638,67.689
Netherlands,NLD,EURO,REPORTING,2022-09-11,36105753,12776868,207.4,72.634,11957152,67.974,,2020-12-30,6,9417108,53.535
Niger,NER,AFRO,REPORTING,2023-07-30,7372208,6248483,30.455,25.813,5483001,22.651,,2021-03-29,2,,
Romania,ROU,EURO,REPORTING,2023-08-27,16111139,8188131,83.4,42.999,8142360,42.759,,2021-01-27,4,1768901,9.289
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2023-06-02,73443,37532,66.201,33.831,31632,28.513,,2021-02-01,5,4279,3.857
Slovakia,SVK,EURO,REPORTING,2023-06-11,7221055,2839404,132.3,52.246,2791174,51.358,,2021-03-03,7,1686230,31.027
Solomon Islands,SLB,WPRO,REPORTING,2023-07-04,612700,335796,89.2,48.887,254016,36.981,,2021-03-23,4,27896,4.061
Sudan,SDN,EMRO,REPORTING,2023-04-02,22598737,15207452,51.537,34.681,13416394,30.597,,2021-03-09,11,3891363,8.874
Tonga,TON,WPRO,REPORTING,2023-06-30,204737,87375,193.705,82.667,77390,73.22,,2021-04-14,2,38588,36.509
United Republic of Tanzania,TZA,AFRO,REPORTING,2023-03-12,39392419,34434933,65.946,57.647,32165791,53.848,,2021-07-28,3,,
Uruguay,URY,AMRO,REPORTING,2023-06-02,9023199,3009801,259.755,86.645,2902437,83.554,,2021-02-27,3,2079949,59.877
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-06-02,37860994,22157232,133.145,77.92,14287370,50.244,,2021-02-22,6,651502,2.291
Andorra,AND,EURO,REPORTING,2023-08-06,157062,57912,203.3,73.275,53501,67.694,,2021-01-20,4,43070,54.496
Anguilla,AIA,AMRO,REPORTING,2023-06-02,24611,10854,164.051,72.35,10380,69.191,,2021-02-05,2,3046,20.304
Bahamas,BHS,AMRO,REPORTING,2023-06-02,366359,174810,93.163,44.453,166972,42.46,,2021-03-14,4,33717,8.574
Barbados,BRB,AMRO,REPORTING,2023-06-02,381721,163846,132.83,57.015,155036,53.949,,2021-01-08,5,62839,21.867
Belarus,BLR,EURO,REPORTING,2023-08-13,22476401,6440581,237.9,67.242,6355954,66.359,,2021-02-03,5,5719809,59.717
Belize,BLZ,AMRO,REPORTING,2023-06-02,510770,258456,128.454,64.999,221408,55.682,,2021-03-01,5,50238,12.634
Benin,BEN,AFRO,REPORTING,2022-12-18,4232541,3697190,34.913,30.497,2742837,22.625,,2021-03-29,5,,
Bermuda,BMU,AMRO,REPORTING,2023-06-02,132042,48554,212.037,77.97,47657,76.529,,2021-01-11,3,31829,51.112
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-06-02,16016290,7492606,137.208,64.187,6295624,53.933,,2021-01-30,7,2487668,21.311
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845,19109,137.934,73.533,16736,64.401,,,2,,
Botswana,BWA,AFRO,REPORTING,2023-05-07,3171667,1951054,134.871,82.966,1663490,70.738,,2021-03-26,6,507654,21.587
Cambodia,KHM,WPRO,REPORTING,2023-09-07,47601597,15307310,284.716,91.557,14683075,87.823,,2021-02-10,7,10746738,64.279
Cameroon,CMR,AFRO,REPORTING,2023-09-17,4842306,3727930,18.241,14.043,3173644,11.955,,2021-04-12,4,792556,2.986
Canada,CAN,AMRO,REPORTING,2023-06-02,97596974,32645232,258.589,86.495,31311576,82.962,,2020-12-14,6,19776324,52.399
Chad,TCD,AFRO,REPORTING,2023-09-10,8971575,5067129,54.619,30.848,4939822,30.073,,2021-06-04,1,4042573,24.611
Croatia,HRV,EURO,REPORTING,2023-08-27,5432918,2320196,133.9,60.109,2246604,58.167,,2020-12-23,6,994504,25.749
French Polynesia,PYF,WPRO,REPORTING,2023-05-01,480028,190908,170.884,67.961,186803,66.5,,2021-01-18,2,102317,36.424
Georgia,GEO,EURO,REPORTING,2023-05-28,2739270,1300867,68.7,34.616,1187212,31.592,,2021-03-17,4,251191,6.684
Grenada,GRD,AMRO,REPORTING,2023-06-02,90686,44241,80.593,39.317,39034,34.69,,2021-02-15,5,7411,6.586
Indonesia,IDN,SEARO,REPORTING,2023-06-06,447595845,203845350,163.641,74.526,174893201,63.941,,2021-01-13,7,68857294,25.174
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-08-15,155445801,65194977,185.07,77.62,58582625,69.747,,2021-02-09,12,28576234,34.022
Kenya,KEN,AFRO,REPORTING,2023-04-02,23750431,14494372,44.169,26.956,11090440,20.625,,2021-03-05,5,2000636,3.721
Kosovo,XKX,EURO,REPORTING,2023-01-15,1836901,904558,,50.758,824752,46.279,,2021-03-31,2,105624,5.927
Liberia,LBR,AFRO,REPORTING,2022-12-11,4460668,3903802,88.196,77.186,3730967,73.768,,2021-04-01,1,1987,0.039
Madagascar,MDG,AFRO,REPORTING,2023-07-30,3092063,2710365,11.166,9.788,2628849,9.494,,2021-05-10,3,169187,0.611
Mauritania,MRT,AFRO,REPORTING,2023-08-20,4075704,2103721,87.656,45.245,1540533,33.132,,2021-03-26,2,383885,8.256
Nepal,NPL,SEARO,REPORTING,2023-06-20,62086946,27804935,213.088,95.429,24389063,83.705,,2021-01-27,8,9892948,33.953
Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442,7840131,34.817,17.879,6481186,14.78,,2021-01-30,4,575651,1.313
Angola,AGO,AFRO,REPORTING,2023-09-17,27309449,16406741,83.093,49.92,9472763,28.822,,2021-03-10,1,2816195,8.569
Armenia,ARM,EURO,REPORTING,2023-09-03,2163656,1124306,73,40.284,998071,35.761,,2021-01-27,10,47379,1.698
Aruba,ABW,AMRO,REPORTING,2023-06-02,216974,90449,203.224,84.717,84297,78.955,,2021-02-17,2,35659,33.399
Brazil,BRA,AMRO,REPORTING,2023-06-02,513329718,188746389,241.499,88.797,171459392,80.664,,2021-01-17,5,110382337,51.93
Burkina Faso,BFA,AFRO,REPORTING,2023-07-23,7893609,6089089,37.763,29.13,5232347,25.031,,2021-06-02,3,4056,0.019
Costa Rica,CRI,AMRO,REPORTING,2023-06-02,13371989,4641899,262.499,91.123,4358863,85.567,,2020-12-24,3,2957974,58.066
Dominica,DMA,AMRO,REPORTING,2023-06-02,67647,32995,93.966,45.832,30659,42.587,,2021-02-12,5,3993,5.547
Finland,FIN,EURO,REPORTING,2023-08-13,13264351,4547574,240.1,81.964,4365072,78.675,,2020-12-23,5,3088576,55.668
French Guiana,GUF,AMRO,REPORTING,2023-06-02,242193,100299,81.087,33.581,90464,30.288,,2021-01-13,3,46331,15.512
Gabon,GAB,AFRO,REPORTING,2023-02-05,572672,311244,25.73,13.984,257471,11.568,,2021-03-23,3,2592,0.116
Haiti,HTI,AMRO,REPORTING,2023-06-02,664150,521396,5.825,4.573,350403,3.073,,,2,,
Iceland,ISL,EURO,REPORTING,2023-04-16,869976,307269,238.9,81.685,297921,79.182,,2020-12-30,5,254556,67.656
Jersey,JEY,EURO,OWID,2023-01-29,266953,84365,247.646,78.264,81882,75.96,,,3,73662,68.335
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699,2740227,85.192,40.147,2414223,35.371,,2021-02-14,10,660249,9.673
Malaysia,MYS,WPRO,REPORTING,2023-08-27,72505914,28088328,224.019,86.783,27502952,84.975,,2021-02-24,8,16309483,50.391
Marshall Islands,MHL,WPRO,REPORTING,2023-03-24,110742,47077,187.083,79.53,40689,68.738,,2020-12-29,3,18559,31.353
Myanmar,MMR,SEARO,REPORTING,2023-05-02,89454913,40354937,164.41,74.169,35196377,64.688,,2021-01-27,2,13903599,25.553
Oman,OMN,EMRO,REPORTING,2022-10-25,7086050,3257365,138.762,63.787,3048826,59.703,,2020-12-29,11,779859,15.272
Pakistan,PAK,EMRO,REPORTING,2023-09-19,340016117,165567890,153.928,74.954,140475871,63.595,,2021-02-03,11,52194348,23.629
Republic of Moldova,MDA,EURO,REPORTING,2023-08-27,2290848,1109177,,36.23,1078747,35.236,,2021-03-03,7,404345,13.207
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-06-02,64297,33794,120.877,63.532,27000,50.76,,2021-02-22,3,3465,6.514
Slovenia,SVN,EURO,REPORTING,2023-06-04,3027801,1229982,144.5,58.371,1200324,56.964,,2021-03-03,8,654233,31.048
Somalia,SOM,EMRO,REPORTING,2023-07-25,10555834,8972167,66.417,56.453,7666835,48.24,,2021-03-16,11,28134,0.177
Togo,TGO,AFRO,REPORTING,2023-09-03,3412326,2251640,41.218,27.198,1554066,18.772,,2021-03-10,1,427804,5.168
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342,2203,469.778,163.185,2203,163.185,,2021-07-20,1,968,71.704
Tunisia,TUN,EMRO,REPORTING,2023-06-20,13253317,7218871,112.139,61.08,6401841,54.167,,2021-03-13,10,1258577,10.649
Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430,176624,115.721,57.505,162250,52.825,,2021-06-02,3,16556,5.39
Zambia,ZMB,AFRO,REPORTING,2023-06-25,13615707,11711565,74.063,63.705,9155551,49.802,,2021-04-14,3,1414619,7.695
Zimbabwe,ZWE,AFRO,REPORTING,2023-09-17,13935112,7491102,93.758,50.401,5649830,38.013,,2021-02-18,4,2283828,15.366
New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497,192371,168.301,67.381,184801,64.729,,2021-01-20,2,103325,36.191
Nigeria,NGA,AFRO,REPORTING,2023-09-17,130894625,92261510,63.498,44.757,79729922,38.678,,2021-03-05,1,16297695,7.906
Niue,NIU,WPRO,REPORTING,2023-03-04,4923,1638,304.265,101.236,1635,101.051,,2021-06-08,1,1225,75.711
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571,2012767,73.481,39.455,1776973,34.833,,2021-02-02,10,336967,6.605
Saba,XCA,AMRO,REPORTING,2023-06-02,4979,1687,257.579,87.274,1667,86.239,,,,1170,60.528
San Marino,SMR,EURO,REPORTING,2022-05-22,69338,26357,204.3,78.105,23633,70.033,,2021-02-24,2,19348,57.335
South Sudan,SSD,AFRO,REPORTING,2023-09-17,4337580,4287160,38.75,38.3,4245286,37.926,,2021-04-06,2,441214,3.942
Tajikistan,TJK,EURO,REPORTING,2023-06-04,20525784,5328277,215.2,54.649,5191919,53.25,,2021-03-24,8,5280117,54.155
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-06-02,73907,32815,190.885,84.754,30710,79.317,,2021-01-11,1,7443,19.224
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-06-02,136512,64290,139.399,65.65,62384,63.703,,2021-03-01,6,9838,10.046
Bonaire,XAA,AMRO,REPORTING,2023-06-02,43070,17460,205.929,83.481,16189,77.404,,,,8125,38.848
Colombia,COL,AMRO,REPORTING,2023-06-02,90506612,43012174,177.872,84.532,37019801,72.755,,2021-02-17,5,14792792,29.072
